CODE,NAME,CLASS_1,TYPE_1,CLASS_2,TYPE_2,CLASS_3,TYPE_3
872459,蓝水软件,C,制造业,29,橡胶和塑料制品业,292,塑料制品业
872460,塞尚国旅,C,制造业,14,食品制造业,149,其他食品制造
872461,中科标识,C,制造业,38,电气机械和器材制造业,382,输配电及控制设备制造
872462,恒港科技,E,建筑业,48,土木工程建筑业,489,其他土木工程建筑
872463,佳合科技,C,制造业,33,金属制品业,331,结构性金属制品制造
872464,迪富电子,C,制造业,14,食品制造业,149,其他食品制造
872465,泰一股份,A,农、林、牧、渔业,1,农业,14,蔬菜、食用菌及园艺作物种植
872466,江苏红人,C,制造业,36,汽车制造业,366,汽车零部件及配件制造
872467,先创股份,I,信息传输、软件和信息技术服务业,65,软件和信息技术服务业,652,信息系统集成服务
872468,世德装备,M,科学研究和技术服务业,74,专业技术服务业,745,质检技术服务
872469,玉城股份,E,建筑业,50,建筑装饰和其他建筑业,501,建筑装饰业
872471,城安科技,E,建筑业,48,土木工程建筑业,489,其他土木工程建筑
872473,爱维尔,C,制造业,34,通用设备制造业,346,烘炉、风机、衡器、包装等设备制造
872474,羿尧网络,C,制造业,42,废弃资源综合利用业,421,金属废料和碎屑加工处理
872475,大元生态,M,科学研究和技术服务业,74,专业技术服务业,749,其他专业技术服务业
872476,德冠廷,C,制造业,26,化学原料和化学制品制造业,263,农药制造
872477,博瑞生物,C,制造业,35,专用设备制造业,359,环保、社会公共服务及其他专用设备制造
872478,景升股份,C,制造业,39,计算机、通信和其他电子设备制造业,397,电子元件制造
872480,三同新材,M,科学研究和技术服务业,75,科技推广和应用服务业,751,技术推广服务
872481,华族股份,C,制造业,38,电气机械和器材制造业,382,输配电及控制设备制造
872482,邦威防护,C,制造业,35,专用设备制造业,351,采矿、冶金、建筑专用设备制造
872483,欧百特,I,信息传输、软件和信息技术服务业,65,软件和信息技术服务业,652,信息系统集成服务
